"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","bas_val","ext_xmin","ext_xmax","ext_ymin","ext_ymax","HRT_sec","T_AIR","HRT","Wind","basin_id"
1358745,NA,"Republic of Serbia","Europe","SWBD",1,0,0.23,2.42,1.41,0.21,0,3,0.9,0.523,4.7,78,0.14,150.9,19.239583,45.376881,1,19.2368058268237,19.24637858073,45.374861111111,45.380267469618,60912000,10.4501285552979,60912000,3.70255374908447,"danube"
1358838,NA,"Romania","Europe","SWBD",1,0,0.22,3.04,1.85,1.88,0,3,8.7,6.316,3.4,480,15.88,708.1,24.0218,45.355693,1,24.0113991970487,24.0227674696181,45.3537500000002,45.3635009765629,44064000,8.37485599517822,44064000,3.26424837112427,"danube"
1358843,NA,"Croatia","Europe","SWBD",1,0,0.26,6.18,3.43,0.27,0,3,1,354.561,0.1,93,0.19,19214.4,16.712025,45.354347,1,16.7083436414938,16.7252674696187,45.3459722222221,45.3569162326389,1296000,11.6805477142334,1296000,3.90180397033691,"danube"
1358899,NA,"Romania","Europe","SWBD",1,0,0.34,4.04,1.96,2.47,0,3,7.3,0.639,44.7,1412,9.72,50.7,25.429965,45.341023,1,25.4249804348414,25.4335485161672,45.3398611111109,45.3526551649304,579312000,8.37485599517822,579312000,3.26424837112427,"danube"
1358910,NA,"Romania","Europe","SWBD",1,0,0.22,2.22,1.33,0.24,0,3,1.1,4.233,0.7,81,0.22,948.3,21.164159,45.338339,1,21.1621922471786,21.1699316406249,45.3320833333336,45.3397146267364,9072000,10.4501285552979,9072000,3.70255374908447,"danube"
1358915,NA,"Ukraine","Europe","SWBD",1,0,0.29,3.45,1.81,0.14,0,3,0.5,10.227,0.2,0,0.01,4247.5,28.742148,45.337766,1,28.7411189778646,28.7505476888022,45.3265277777776,45.3382253689236,2592000,10.5195283889771,2592000,4.14860963821411,"danube"
1358916,NA,"Ukraine","Europe","SWBD",1,0,0.23,2.36,1.39,0.35,0,3,1.5,0.14,28.8,0,0.41,51.4,28.538136,45.337175,1,28.5275550672742,28.5388661024305,45.3365277777776,45.3405268012151,373248000,10.5195283889771,373248000,4.14860963821411,"danube"
1358923,NA,"Romania","Europe","GRanD",2,3859,0.99,8.3,2.35,210,210,2,211.7,1.709,1422.2,980,21.66,225.4,22.717708,45.335417,1,22.6938108222316,22.7296455049797,45.3238114074061,45.3382309411015,18431712000,8.57011222839355,18431712000,3.34527611732483,"danube"
1358931,NA,"Romania","Europe","SWBD",1,0,0.53,4.9,1.91,1.55,0,3,3,0.232,77.5,30,1.28,62.8,27.375558,45.333797,1,27.3519498697915,27.3779166666667,45.3320833333333,45.3381472439235,1004400000,10.5195283889771,1004400000,4.14860963821411,"danube"
1358935,NA,"Romania","Europe","SWBD",2,3860,0.62,7.14,2.56,60,60,2,97.2,4.063,170.9,582,10.61,246.7,25.989118,45.332078,1,25.9677830674912,25.9943055555555,45.3297276475693,45.3443055555554,2214864000,8.37485599517822,2214864000,3.26424837112427,"danube"
1358987,NA,"Croatia","Europe","SWBD",1,0,0.68,7.81,2.68,2.82,0,3,4.2,0.29,112.5,92,2.41,45.3,18.459373,45.319296,1,18.4252880859383,18.4606537543411,45.3183360460068,45.3397119140624,1.458e+09,11.6805477142334,1.458e+09,3.90180397033691,"danube"
1359011,NA,"Ukraine","Europe","SWBD",1,0,0.99,5.88,1.67,1.91,0,3,1.9,0.181,122,0,0.44,66.8,28.536458,45.315569,1,28.5327932400174,28.5519289822048,45.3140277777777,45.3322998046873,1581120000,10.5195283889771,1581120000,4.14860963821411,"danube"
1359061,NA,"Romania","Europe","SWBD",1,0,0.5,6.27,2.51,4.54,0,3,9.2,0.946,55.6,302,13.66,157.5,21.974354,45.302213,1,21.9730634223088,22.001421034071,45.3015277777781,45.3088812934031,720576000,8.57011222839355,720576000,3.34527611732483,"danube"
1359069,NA,"Romania","Europe","SWBD",1,0,0.14,2.18,1.67,1,0,3,7.3,1.342,8.6,825,12.95,188.6,23.059488,45.300086,1,23.0506507703994,23.0602454969617,45.2945833333335,45.3002571614586,111456000,8.57011222839355,111456000,3.34527611732483,"danube"
1359101,NA,"Romania","Europe","SWBD",1,0,0.54,7.35,2.83,2.16,0,3,4,0.284,88,26,2.44,77.3,27.391807,45.291381,1,27.3833360460068,27.3921769205729,45.2909722222221,45.3212754991317,1140480000,10.5195283889771,1140480000,4.14860963821411,"danube"
1359112,NA,"Republic of Serbia","Europe","SWBD",1,0,0.29,2.21,1.15,0.49,0,3,1.7,18.691,0.3,71,0.47,6175.5,20.43306,45.286604,1,20.432718336317,20.4424947102862,45.284027777778,45.2894390190974,3888000,10.4501285552979,3888000,3.70255374908447,"danube"
1359151,NA,"Romania","Europe","SWBD",1,0,0.35,4.42,2.11,3.54,0,3,10.2,119.069,0.3,298,18.98,15001.3,24.30911,45.278429,1,24.2953412543404,24.3102674696181,45.2773611111115,45.2927674696183,3888000,8.37485599517822,3888000,3.26424837112427,"danube"
1359166,NA,"Romania","Europe","SWBD",1,0,0.35,4.54,2.18,0.71,0,3,2.1,33.297,0.2,139,0.69,2766.3,26.704428,45.273453,1,26.6827830674912,26.7049304199218,45.2723611111109,45.2824945746526,2592000,10.5195283889771,2592000,4.14860963821411,"danube"
1359170,NA,"Romania","Europe","SWBD",1,0,0.42,2.84,1.23,0.58,0,3,1.4,0.023,291.7,0,0.28,13.4,29.005114,45.271097,1,28.994326985677,29.0083962673611,45.2668055555554,45.2731884765623,3780432000,12.4668197631836,3780432000,NA,"danube"
1359172,NA,"Romania","Europe","SWBD",1,0,0.39,5.11,2.31,0.89,0,3,2.3,0.238,43.1,49,0.81,51,27.204549,45.269071,1,27.1813941786023,27.2056944444445,45.2681944444442,45.2774945746526,558576000,10.5195283889771,558576000,4.14860963821411,"danube"
