"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","HRT","T_AIR","HRT_sec","Wind","basin_id","Pour_long","Pour_lat"
1363147,NA,"France","Europe","SWBD",1,0,0.15,1.94,1.43,0.26,0,3,1.8,42.638,0.1,114,0.66,2050.7,8640,11.7142372131348,8640,7,"206520",-0.555328,43.373497
1363259,NA,"France","Europe","SWBD",1,0,0.28,2.67,1.41,0.78,0,3,2.8,38.804,0.2,150,1.34,1919.4,17280,11.7142372131348,17280,7,"206520",-0.44747,43.314008
1363322,NA,"France","Europe","SWBD",1,0,0.15,2.18,1.58,0.31,0,3,2.1,30.882,0.1,187,0.91,1634.3,8640,11.7142372131348,8640,7,"206520",-0.333917,43.275494
1363372,NA,"France","Europe","SWBD",1,0,0.98,6.22,1.77,6.88,0,3,7,0.984,80.9,274,6.3,57.1,6989760,11.7142372131348,6989760,7,"206520",0.201381,43.231623
1363807,NA,"France","Europe","SWBD",1,0,0.37,3.72,1.72,3.94,0,3,10.6,1.016,44.9,1240,20.05,53.8,3879360,11.7142372131348,3879360,7,"206520",-0.399459,42.880287
1363820,NA,"France","Europe","SWBD",1,0,0.24,2.1,1.21,1.91,0,3,8,0.589,37.5,1415,12.94,27.7,3240000,11.7142372131348,3240000,7,"206520",-0.457199,42.86752
14342,NA,"France","Europe","SWBD",1,0,17.24,31.44,2.14,18.18,0,3,1.1,12.16,17.3,-1,0.45,635.9,1494720,14.9195804595947,1494720,7,"206571",3.909375,43.532181
171765,NA,"France","Europe","SWBD",1,0,2.36,9.18,1.69,2.18,0,3,0.9,12.198,2.1,-1,0.33,637,181440,14.9195804595947,181440,7,"206571",3.917959,43.523826
171826,NA,"Italy","Europe","SWBD",2,3461,1.11,10.84,2.9,37.3,37.3,2,33.5,1.14,378.7,327,8.66,88.8,32719680,16.225004196167,32719680,7,"207346",13.160417,43.380686
14350,NA,"France","Europe","SWBD",1,0,20.58,72.82,4.53,20.58,0,3,1,10.31,23.1,-1,0.2,863.3,1995840,14.9195804595947,1995840,7,"207816",4.235002,43.461937
171755,NA,"France","Europe","SWBD",1,0,5.34,14.09,1.72,6.33,0,3,1.2,0.33,222,-2,0.33,28.6,19180800,14.9195804595947,19180800,7,"207816",4.282293,43.540366
171768,NA,"France","Europe","SWBD",1,0,2.1,9.46,1.84,1.4,0,3,0.7,0.411,39.5,-1,0.24,35.8,3412800,14.9195804595947,3412800,7,"207816",4.265861,43.51875
171775,NA,"France","Europe","SWBD",1,0,7.81,30.06,3.03,8.52,0,3,1.1,9.317,10.6,-2,0.27,777.2,915840,14.9195804595947,915840,7,"207816",4.235469,43.503033
171787,NA,"France","Europe","SWBD",1,0,3.99,21.65,3.06,2.64,0,3,0.7,9.458,3.2,-1,0.19,789.5,276480,14.9195804595947,276480,7,"207816",4.229356,43.471307
1362461,NA,"France","Europe","SWBD",1,0,0.12,1.76,1.46,0.15,0,3,1.3,1.17,1.5,11,0.35,83.5,129600,14.9195804595947,129600,7,"207816",4.212765,43.710132
14349,"Vaccares","France","Europe","SWBD",1,0,95.26,117.6,3.4,113.11,0,3,1.2,2.704,484.1,-2,0.35,293.4,41826240,14.9195804595947,41826240,7,"207918",4.495018,43.462072
171774,NA,"France","Europe","SWBD",1,0,2.79,12.88,2.17,2.5,0,3,0.9,0.178,162.4,-2,0.3,17.7,14031360,14.9195804595947,14031360,7,"207918",4.446601,43.508863
171777,NA,"France","Europe","SWBD",1,0,3.99,10.79,1.52,3.6,0,3,0.9,0.235,177.4,-1,0.27,27.3,15327360,14.9195804595947,15327360,7,"207918",4.612075,43.496234
171779,NA,"France","Europe","SWBD",1,0,7.41,35.5,3.68,7.06,0,3,1,0.208,392.6,-1,0.23,23.2,33920640,14.9195804595947,33920640,7,"207918",4.561238,43.488173
14321,NA,"Croatia","Europe","SWBD",2,3908,15.02,50.56,3.68,565.3,565.3,2,37.6,8.995,727.4,347,8.18,409.4,62847360,11.6805477142334,62847360,7,"208284",16.593708,43.798167
1362787,NA,"Croatia","Europe","SWBD",1,0,0.25,4.12,2.34,1.85,0,3,7.5,26.155,0.8,275,11.22,1109.8,69120,13.2521915435791,69120,7,"208284",16.734665,43.548325
1362947,NA,"France","Europe","SWBD",1,0,0.1,1.44,1.26,0.1,0,3,0.9,1.485,0.8,-1,0.19,251.7,69120,14.9195804595947,69120,7,"208472",4.832122,43.478906
171815,NA,"Spain","Europe","SWBD",2,2650,2.69,28.76,4.94,123,123,2,45.7,10.588,134.5,316,10.82,395.8,11620800,12.6120357513428,11620800,7,"208802",-8.00974,43.40548
1362999,NA,"Spain","Europe","SWBD",2,2649,0.86,11.27,3.42,32.8,32.8,2,38,3.526,107.7,394,10.12,133.5,9305280,12.6120357513428,9305280,7,"208802",-7.827105,43.461095
